Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
study,Study,"3Dchromatin, ABC-DS, Abeta_microglia, ACOM, ACT, AD_ADRD_Exposome, AD-BXD, ADAMTS7, ADAtlas_Archive, ADMC_ADNI_BakerLipidomics, ADMC_ADNI_Biocrates_MxP_Q500, ADMC_ADNI_NightingaleNMR, ADMC_ADNI_UHawaiiGutMetabolites, ADMC_ADNI1, ADMC_ADNI2-GO, ADMC_UPenn, Aging-PheWAS, AGMP_ANIMAL_MODELS, AGMP_TULSA_1000_LIBR, AMP-AD_DiverseCohorts, APOE-TR, APOE4_Myelination, APOEPSC, Banner, BCM-DMAS, BipSeq, BLSA, BPSD_AD_AnimalStudy_NU, BrainGVEX, BroadAstrom109, BroadiPSC, BroadMDMi, CHDWB, CMC, CMC_HBCC, CMC-PEC, CNON, CUMC_Compounds_Microglia, DAM Models_CU, DiCAD, diseasePseudotime, DukeAD_PTSD, ELPSCRNA, Emory_ADRC, EmoryDrosophilaTau, EpiGABA, EpiMap, eQTLmetaAnalysis, FreshMicro, HBI_scRNAseq, HBTRC, HDAC1-cKOBrain, HumanFC, IL10_APPmouse, iNiAstshRNA, IntegrativePathwayAnalysis, iPSC, iPSC-HiC, iPSCAstrocytes, iPSCMicroglia, ISB_Taner_CollagenDomain, ISB_Taner_Cxcl10, ISB_Taner_PTN_MDK, ISB_Taner_sIL10r_sIL4r, ISB_Taner_TGFbeta, Jax.IU.Pitt_APOE4.Trem2.R47H, Jax.IU.Pitt_APP.PS1, Jax.IU.Pitt_Levetiracetam-5XFAD, Jax.IU.Pitt_LOAD2.PrimaryScreen, Jax.IU.Pitt_MicrobiomePilot, Jax.IU.Pitt_PrimaryScreen, Jax.IU.Pitt_StrainValidation, Jax.IU.Pitt_Verubecestat_5XFAD, Jax.IU.Pitt.Proteomics_Metabolomics_Pilot, LBP, LillyMicroglia, LLFS, lncRNA Pilot, MARS WISCONSIN, MayoeGWAS, MayoHippocampus, MayoLOADGWAS, MayoPilotRNAseq, MayoRNAseq, mCITE-Seq, MC_snRNA, MC-BrAD, MC-CAA, MCMPS, MEF2_Resilience, MindPhenomeKB, miR155, MIT_ROSMAP_Multiomics, MOA-PAD, MODEL-AD_5XFAD, MODEL-AD_Abca7_APOE4_Trem2, MODEL-AD_APOE4_KI, MODEL-AD_APOE4_Trem2, MODEL-AD_Ceacam_KO_APOE4_Trem2, MODEL-AD_hAbeta_KI, MODEL-AD_Harmonization, MODEL-AD_hCR1_KI_on_APOE4_Trem2, MODEL-AD_hTau_Trem2, MODEL-AD_Il1rapKO_APOE4_Trem2_exon2KO, MODEL-AD_Mthfr_APOE4_Trem2, MODEL-AD_Rat_F344, MODEL-AD_Trem2_R47H, MouseHAL, MRGWAS, MSBB, MSBB_ArrayTissuePanel, MSDM, MSMM, MSSMiPSC, mtDNA_AD, NAPS, NHP-Chimpanzee, NHP-Macaque, NPS-AD, OFMM, omicsADDS, Organoid_scRNAseq, Plxnb1_KO, RADEL, RNAseq_Harmonization, rnaSeqReprocessing, rnaSeqSampleSwap, ROSMAP, ROSMAP_bsSeq, ROSMAP_CellTypeSpecificHA, ROSMAP_CognitiveResilience, ROSMAP_Lipidomics_Emory, ROSMAP_MammillaryBody, ROSMAP_nucleus_hashing, ROSMAP-IA, ROSMAP-IN, RR_APOE4, scRNAseq_microglia_wild_ADmice, SEA-AD, SMIB-AD, snRNAseqAD_TREM2, StJude_BannerSun, SUNYStrokeModel, SuperAgerEpiMap, SV_xQTL, SWS, SY5Y_Emory, SY5Y_REST, TASTPM, TAUAPPms, TauD35, Trisomy21iN, TS-RNAseq, TWAS, TyrobpKO, TyrobpKO_AppPs1, U1-70_PrimaryCellCulture, UAB_ADRC, UCI_3xTg-AD, UCI_ABCA7, UCI_Apoe-Ch, UCI_BIN1, UCI_CCLines, UCI_Microbiome, UCI_Multiomics, UCI_PrimaryScreen, UCI_StrainValidation, UCI_Trem2_Cuprizone, UCI_Trem2-R47H_NSS, UCLA-ASD, UCSF_MAC, UFLOR_ABI3_GNGT2, UPenn, VirusResilience_Banner, VirusResilience_iPSC, VirusResilience_LCL, VirusResilience_Mayo.MSBB.ROSMAP, VMC, WallOfTargets, WGBS Pilot, WGS_Harmonization, WHICAP_Immunoprofiling, Yale-ASD",,,TRUE,ManifestColumn,,sage.annotations-neuro.study-0.0.57,,string,ADKP
3Dchromatin,The neuronal and glial 3D chromatin architecture study,,,,,study,,https://www.synapse.org/#!Synapse:syn21754060,,string,ADKP
ABC-DS,The Alzheimer's Biomarkers Consortium - Down Syndrome (ABC-DS) Study,,,,,study,,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn38190930,,string,ADKP
Abeta_microglia,The differential transcriptomic responses of microglia to Ab peptide aggregates (Abeta_microglia) study,,,,,study,,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn24828089,,string,ADKP
ACOM,The apoE effects in iPSC-derived Alzheimer's disease cerebral organoid model study,,,,,study,,https://www.synapse.org/#!Synapse:syn21680862,,string,ADKP
ACT,Adult Changes in Thought,,,,,study,,hhttps://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn5759376,,string,ADKP
AD_ADRD_Exposome,The Exposome-wide association study of AD/ADRD across the UK Biobank and Framingham Heart Study cohorts (AD_ADRD_Exposome),,,,,study,,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26438246,,string,ADKP
ADAMTS7,The Characterization of gene associations with aging-related traits with a genetically-predicted transcriptome-wide association study (TWAS),,,,,study,,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26969078,,string,ADKP
ADAtlas_Archive,The Integrated Molecular Atlas of Alzheimer's Disease Archive (ADAtlas_Archive),,,,,study,,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn38188085,,string,ADKP
AD-BXD,The AD-BXD study,,,,,study,,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn17016211,,string,ADKP
